ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5064442,HM668926,10/19/2006 08:00:00 AM,037XX S DR MARTIN LUTHER KING JR DR,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA APARTMENT,true,false,0212,002,3,35,26,1179472,1880213,2006,04/15/2016 08:55:02 AM,41.82658872,-87.617054483,"(41.82658872, -87.617054483)"
5064445,HM670612,10/19/2006 06:00:00 PM,014XX E 69TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0332,003,5,43,08B,1187299,1859536,2006,04/15/2016 08:55:02 AM,41.769666866,-87.588996014,"(41.769666866, -87.588996014)"
5064446,HM496816,07/24/2006 08:27:56 PM,053XX S NASHVILLE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,OTHER,true,false,0811,008,23,56,18,1133285,1868464,2006,04/15/2016 08:55:02 AM,41.795279129,-87.786782342,"(41.795279129, -87.786782342)"
5064447,HM667035,10/18/2006 09:20:00 AM,090XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0633,006,6,44,08B,1183139,1845391,2006,04/15/2016 08:55:02 AM,41.730949275,-87.604683641,"(41.730949275, -87.604683641)"
5064448,HM668815,10/18/2006 04:00:00 PM,042XX N RICHMOND ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,"SCHOOL, PUBLIC, BUILDING",false,false,1724,017,33,16,14,1155956,1927997,2006,04/15/2016 08:55:02 AM,41.958218081,-87.702040567,"(41.958218081, -87.702040567)"
5064449,HM670096,10/19/2006 05:58:26 PM,001XX S LAVERGNE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,false,false,1533,015,28,25,04A,1143279,1899073,2006,04/15/2016 08:55:02 AM,41.879094419,-87.749370358,"(41.879094419, -87.749370358)"
5064450,HM670556,10/19/2006 10:45:00 PM,033XX W BELMONT AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,1733,017,35,21,06,1153744,1921087,2006,04/15/2016 08:55:02 AM,41.939300984,-87.710357367,"(41.939300984, -87.710357367)"
5064451,HM671100,10/20/2006 09:15:00 AM,001XX E 119TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0532,005,9,53,26,1179307,1825758,2006,04/15/2016 08:55:02 AM,41.677161805,-87.61931781,"(41.677161805, -87.61931781)"
5064453,HM668946,10/19/2006 08:18:00 AM,013XX N PULASKI RD,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,2534,025,27,23,06,1149466,1908864,2006,04/15/2016 08:55:02 AM,41.905844192,-87.726398267,"(41.905844192, -87.726398267)"
5064454,HM668677,10/19/2006 12:31:00 AM,014XX E 69TH PL,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,false,true,0332,003,5,43,04B,1186961,1859197,2006,04/15/2016 08:55:02 AM,41.76874464,-87.59024569,"(41.76874464, -87.59024569)"
5064455,HM669563,10/19/2006 01:45:32 PM,0000X W ELM ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,1824,018,42,8,06,1175504,1908078,2006,04/15/2016 08:55:02 AM,41.903141995,-87.63077557,"(41.903141995, -87.63077557)"
5064456,HM668944,10/19/2006 09:15:00 AM,026XX N CLYBOURN AVE,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,true,false,1931,019,32,7,06,1163560,1917417,2006,04/15/2016 08:55:02 AM,41.929028876,-87.674384528,"(41.929028876, -87.674384528)"
5064457,HM667401,10/18/2006 09:30:00 AM,012XX S PULASKI RD,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,"SCHOOL, PRIVATE, GROUNDS",true,false,1011,010,24,29,11,1149911,1894141,2006,04/15/2016 08:55:02 AM,41.865434036,-87.725146911,"(41.865434036, -87.725146911)"
